ID	Bibliography	Discussion	Title	Ancient City	Roman Province	Date	Low Date	High Date	Low Date Uncertainty	High Date Uncertainty	Dedicator	Honorand	Military	Civic	Administrator	Inscription Type	Keywords	Modern City	Modern Country	Photo	Sole Dedication	Group Dedication	Checked By	Damnatio	Inscription Text	Translation	Notes
392	CIL 08 10231	"Transcription from EDCS.

HG"															"C, JD"			http://web3.forest.usf.edu/main/other/severan/jdi/images/391.jpg			Translation		Imp(eratori) Caes(ari) M(arco) Aurel(io) Sev(ero) / Anton(ino) Aug(usto) Pio Fel(ici) Par(thico) max(imo) / Brit(annico) max(imo) Ger(manico) max(imo) pont(ifici) max(imo) / trib(unicia) [po]t(estate) XVIII imp(eratori) III co(n)s(uli) [IIII] / p(atri) p(atriae) proco(n)s(uli) et [Iuliae Aug(ustae)] / mat(ri) Aug(usti) et cas(trorum) et s(enatus) / ac patriae / a cast(ra) m(ilia) p(assuum) IV		
518	IGRR 01 01113 = CIG 4701b					199-200					city of Memphis?						"LSS, C, G, JD, restoration, city?"	"Memphis, Avenue of the Sphynix"	Egypt	http://web3.forest.usf.edu/main/other/severan/jdi/images/517.jpg			Transcription				
163	AE 1997 01655	EDCS transcription; does not appear to have anything to do with the imperial family at all. -AB																		http://web3.forest.usf.edu/main/other/severan/jdi/images/162.jpg			Attention!		Minervae Aug(ustae) sacr(um) / ex testmento Q(uinti) Vinnici Q(uinti) fili(i) Arn(ensi) / Genialis sacerdotis Cereris anni CXXVII / quaestoris praefecti iuris dic(undi) IIvir(i) c(oloniae) C(oncordiae) I(uliae) K(arthaginis) / patroni civitatis Thuggensis ex HS X mil(ibus) XX(vicesima) pop(uli) R(omani) / minus civitati donum dedit curatore C(aio) Mario Per/petuo patrono civitatis		
252	SEG 19 00461																			http://web3.forest.usf.edu/main/other/severan/jdi/images/251.jpg			Transcription				
24	AE 1911 00106 = ILAlg 02-03 07806	"EDCS cites this as ILAlg 02-03, 07806 = AE 1911, 00106"				199					Cuicul						"domus, municipal, LSS, C, G, JD, mater castrorum"	Djemila/ Cuicul	Africa	http://web3.forest.usf.edu/main/other/severan/jdi/images/23.jpg			Complete		Imp(eratore) Caes(are) L(ucio) Septimio Se[vero Pio] / Pertinace Aug(usto) Arabico A[diabeni]/co Part(hico) max(imo) fortissimo felicis[simo] / pont(ifice) max(imo) tr(i)b(unicia) pot(estate) VII imp(eratore) XI co(n)s(ule) II p[roco(n)s(ule)] / divi M(arci) Antonini Pii fil(io) divi Commodi fr[atre divi] / Pii Antonini nep(ote) divi Hadriani pronep(ote) div[i Tra]/iani Part(hici) abnep(ote) divi Nervae adnep(ote) et / Imp(eratore) Caes(are) M(arco) Aurelio Antonino Aug(usto) trib(unicia) pot(estate) II proco(n)s(ule) / [[P(ublio) Septimio Geta Caes(are) [Augusti nostri]]] M(arci) Aureli / Antonini Aug(usti) fratre et Iulia Domna Aug(usta) matre / castrorum res p(ublica) Cuiculitanorum horrea / extruxit dedicante / Q(uinto) Anicio Fausto / leg(ato) Augg[[g(ustorum)]] / pr(o) pr(aetore) viro (!) amp(lissimo) consular pat(rono) coloniae	"In the reign of Imperator Caesar Lucius Septimius Severus Pius Pertinax Augustus Arabicus Adiabenicus Parthicus Maximus mightiest, most blessed, pontifex maximus, tribunicia potestas seven times, imperator eleven times, consul second time, proconsular powers son of the divine Marcus Antoninus Pius brother of the divine Commodus grandson of the divine Pius Antoninus, great grandson of the divine Hadrian, great, great grandson of the divine Trajan Parthicus, great great great grandson of the divine Nerva and Imperator Caesar Marcus Aurelius Antoninus Augustus tribunicia potestas twice proconsular power, [[Publius Septimius Geta Caesar [son of our Augustus]]] brother of Marcus Aurelius Antoninus Augustus and Iulia Domna Augusta Mater Castrorum, the city of Cuicul built warehouses with Quintus Anicius Faustus the Augustan legate, with propraetor powers, a most distinguished man, consul and patron of the colony dedicating them"	
149	AE 1994 01735 a/b																			http://web3.forest.usf.edu/main/other/severan/jdi/images/148.jpg			Transcription				
314	CIL 08 26225 = D 08920a = AE 1899 00056	"EDCS addition; not in Kettenhoffen

MW"															JD			http://web3.forest.usf.edu/main/other/severan/jdi/images/313.jpg			Translation		Divae Iuliae / Domnae / dec(uriones) Gillitani / s(ua) p(ecunia) f(ecerunt)		
508	IGLS 02744 = 1939 57																			http://web3.forest.usf.edu/main/other/severan/jdi/images/507.jpg			Transcription				
339	ILAlg 01 01256	"EDCS addition; not in Kettenhoffen

MW"															domus			http://web3.forest.usf.edu/main/other/severan/jdi/images/338.jpg			Image		Pro salute pro[3]e Impp(eratorum) L(uci) Septimi Sev[er]i [P]ii Pert(inacis) Aug(usti) Ar[ab(ici) Adiab(enici) Parth(ici) max(imi) pon]t(ificis) max(imi) p(atris) p(atriae) et / Imp(eratoris) M(arci) Aureli Antonin[i Aug(usti) [[et P(ubli) Septimi Ge]t[ae Caesaris]]] et Iuliae Domn(a)e Aug(ustae) matr(is) [Augg(ustorum) et castrorum [[et Fulviae Plautillae]]] / Aug(ustae) arcum at ornamen[tum templi Satur]ni M(arcus) Fabius Laetus fl(amen) p(er)p(etuus) cum coniuge et [3 fecit] idemq(ue) ded(icavit)		
587	ILAlg 01 02092	"*UNABLE TO FIND TRANSCRIPTION ON EDCS*

HG"																		http://web3.forest.usf.edu/main/other/severan/jdi/images/586.jpg			Attention!				
79	CIG 02972	"Corpus inscriptionum graecarum. 4 vols. Berlin 1828-1877.

Cf. Kettenhofen for further details, such as which volume to order"																		http://web3.forest.usf.edu/main/other/severan/jdi/images/78.jpg			ILL				
583	ILAlg 01 01259	"*UNABLE TO FIND TRANSCRIPTION ON EDCS*

HG"																		http://web3.forest.usf.edu/main/other/severan/jdi/images/582.jpg			Attention!				
148	AE 1994 00907	"EDCS cites this as CILA-02-01, 00011 = HEp-03, 00355 = HEp-04, 00806 = AE 1987, 00497 = AE 1994, 00907

MW: The date was chosen due to the erasure of Geta name or inclusion in the number of Imperators, assumed to be linked to the damnatio memoriae after 212."				212-217					M. Lucretius Iulianus?						"LSS, C, G, JD"			http://web3.forest.usf.edu/main/other/severan/jdi/images/147.jpg			Proof		[Imppp(eratoribus) Caesss(aribus) L(ucio) Septimio] SEVERO PIO FELIC[i Per]/[tinaci Augusto pon]T(ifici?) MAXIMO [P(atri?) P(atriae?)] / [M(arco) Aurelio Antonino Pio Feli]C(i) AVG(usto) [[et P(ublio) Septimio Getae Augu[sto et]]] / Iuliae Domnae matri cast]RORUM ET AVGVST[orum] / [3 tabularium(?) cum omni cu]LTV ADQUE ORNATV ET CVM M[armoribus(?)] / [3 et cum im]AGINIBVS EORV[m exornavit(?)] / [3]CAO PROC(uratore) AVGG[[[g(ustorum)]]] NN[[[n(ostrorum)]]] / [dedicante(?) M(arco) Lucretio Iu]LIANO PROC(uratore) AV[g[[gg(ustorum)]] NN[[n(ostrorum)]]]	"To the Imperators, Caesars Lucius Septimius Severus Pius Felix Pertinax Augustus Pontifex maximus, father of the fatherland, Marcus Aurelius Antoninus Pius Felix Augustus and Public Geta Augustus and Iuliae Domnae mother of the camps and the Augustorum. ...the registry with all polish as well as decorated with marble. ...and with the image he adorns. ...To our Augustorum ... the manager to the pit of hell. To our Augustorum’s Marcus Lucretius is declared [the office of] manager."	
389	CIL 08 09032	"Transcription from EDCS.

HG"															JD			http://web3.forest.usf.edu/main/other/severan/jdi/images/388.jpg			Translation		Iuliae / Aug(ustae) / matri / castro/rum / Auzi/en[ses]		
139	AE 1993 01331	"KP: Is Siliana Antoniniana the dedicator? Also, dated 212-217 because JD has MAT SEN M PATR, Geta is nowhere to be seen, and Caracalla seems to still be alive, though the sanctissimi makes me wonder."									Siliana Antoniniana						JD			http://web3.forest.usf.edu/main/other/severan/jdi/images/138.jpg			Proof		[Iuliae Au/gusiae[sic] ma/tri sanctiss/imi piissimi/que Antonini / Augusti et / castroru]M [sena]TUSQ(ue) / [ac] PATRIAE / [al]A SIL(iana) AN/[to]NINIANA.	To Julia Augusta mother of the most sacred and most pious Antoninus Augustus and of the camps and of the senate and also of the fatherland (by?) Siliana Antoniniana.	
242	CIL 06 01049 = CIL 14 00120					Post 195														http://web3.forest.usf.edu/main/other/severan/jdi/images/241.jpg			Translation		IVLIAE/AVG(ustae)/MATRI/CASTRORVM	To Julia/Augusta/Mother/ of the Camps	
410	CIL 08 15523	"Transcription from EDCS.

HG"															"LSS, JD,  C, G, decuriones, Antonine heritage"			http://web3.forest.usf.edu/main/other/severan/jdi/images/409.jpg			Translation		[Imp(eratori) Caes(ari) divi [M(arci) Anto]nini Pii Germ(anici) Sa[rm(atici) filio divi Commodi fratri divi pii nepoti] / divi Hadriani pronepoti divi Tra[iani Parthici abnepoti divi Nervae adnepoti] / L(ucio) Septimio Severo Pio Pertinaci Aug(usto) [Arab(ico) Adiab(enico) Parth(ico) max(imo) pont(ifici) max(ino) trib(unicia) pot(estate) 3 imp(eratori) 3 co(n)s(uli) 3 p(atri) p(atriae) et] / Iuliae Domnae Aug(ustae) matri castrorum c[oniugi Imp(eratoris) Caes(aris) L(uci) Septimi Severi Aug(usti) et M(arco) Aurelio Antonino] / Severo Imp(eratoris) Caes(aris) L(uci) Septimi Severi Pert[inacis Aug(usti) f(ilio) et P(ublio) Septimio Getae Imp(eratoris) Caes(aris) L(uci) Septimi Severi Aug(usti) f(ilio) d(ecreto) d(ecurionum)		
482	IG 04 00704 = CIG 01216					209-211					city of Hermione						"Hermione, city, JD sole dedicant"		Peloponnesos	http://web3.forest.usf.edu/main/other/severan/jdi/images/481.jpg			Image		"_______ __<_>___ ____- |____, ______ ______π_- | ___, ________<_>___ ___- | _____ _(______) __π______ ___- | ____ ____<_>_____ ___[_]- | ______ _______ ___ __- | __{_}________ {______________}__ ________ | _(_____) ________ __________ | _(__) {__} _(______) __π______ | ________ ________ __- | ____, _ π____ _ ___ | _________ ___ ___- | π_____."		
16	AE 1911 00016	"JL: still working on where dianensium is...

AB: added province and location information from EDH.

Lit. from EDH: ILBulg 223; tab. 46, 223 (Zeichnung).
 G.I. Kacarov, BullSocArchBulg 1, 1910, 115-118, Nr. 1; Zeichnung. (B) -
 AE 1911."									Publius Aelius Victorinus						"domus, decuriones, LSS, C, G, JD"	Storgosia (Bulgaria)	Moesia Inferior	http://web3.forest.usf.edu/main/other/severan/jdi/images/15.jpg			Complete		?] / [pro? salute?] / [dominorum? nn(ostrorum)?] / Severi et Anto/nini [[et Getae Cae]]/[[saris]] et Iuli[ae] / Aug(ustae) territorio / Dianensiu(m) P(ublius) Aeli/us Victorinu[s] / ex mag(istratu) et [ex] / decur(ionatu) [suo pos(uit)]	"]for the health of our masters Severus and Antoninus [[and Geta Caesar]] and Julia Augusta, Publius Aelius Victorinus erected this at his own expense according to the magistrates in the territory Dianenses"	
565	ANRW II 00008 (1977) S. 130 (noch nicht publiziert)	*UNABLE TO FIND TRANSCRIPTION ON EDCS*																		http://web3.forest.usf.edu/main/other/severan/jdi/images/564.jpg			Attention!				
20	"AE 1952 00218 = IK 17-02, 04335"	NB: translation for the title comes from A. E. R. Boak “The Roman Magistri in the Civil and Military Service of the Empire” Harv.Stud. 26 (1915) 73ff.				post 198-212					Marcus Romanius Juventinus						"JD, mater castrorum, procurator"	Ephesus	Asia	http://web3.forest.usf.edu/main/other/severan/jdi/images/19.jpg			Complete		[Iuli]ae Aug(ustae) / matri / castrorum / M(arcus) Romanius / Iuventinus / proc(urator) Augg(ustorum) XX her(editatium) / provinci[a]e Asiae	"To Julia Augusta, mother of the camp.  Marcus Romanius Iuventinus procurator of the Auggusti of the five-percent inheritance tax of the Province of Asia"	
146	AE 1993 01770	"EDCS cites this as AE 1934, 00028 = AE 1993, 01770

MW:The date is chosen due to apparent lack of inclusion of Geta or Severus by intention. Probably inscribed between Geta’s death and Caracalla’s, during his sole reign."				212-217					Marcus Antonius and Lucius Flavius						"C, JD"			http://web3.forest.usf.edu/main/other/severan/jdi/images/145.jpg			Proof		] / [pro salute] / [Imp(eratoris) Caesaris M(arci) Aureli Ant]ONINI / [Pii Felicis Aug(usti)] / ET IVL[ia]E [Do]MNAE / AVG(ustae) MA[tris cas]TRO/RVM M(arcus) AN[to]NIVS / M(arci) F(ilius) PAP(iria) V[ena]TOR / L(ucius) FLAVIVS [M(arci?) f(ilius)] PAP(iria) / DONATVS Q(uaestores) AEDIL(es) Q(uaestoriae) / PRAEF(ecti) I(ure) D(icundo) PRO IIVIRIS / PRO ILVIR(is) Q(uin)Q(uennalibus) STATVAM / [	"...For the health of the Imperator, Caesar Marcus Aurelius Antoninus Pius Felix Augustus and Iulia Domna Augusta mother of the camps. Marcus Antonius son of Marcus Papiria son of Venator Lucius Flavius Marcus Papiria Donatus.  Quaestors, Aediles, Praefects with the power of the quaestors and with the right of pronouncing judgments on behalf of the duoviri they set up this statue on behalf of the fifth year of their magistracies["	
406	CIL 08 14465	"Transcription from EDCS.

HG"															"Saturn, LSS, C, G, JD, domus"			http://web3.forest.usf.edu/main/other/severan/jdi/images/405.jpg			Attention!		[S]aturno Aug(usto) sacr(um) / [pro salute Imp(eratoris) Caes(aris) L(uci) Se]ptimi Severi Pertinacis Aug(usti) / [et M(arci) Aureli Antonini Aug(usti) [[et P(ubli) Septimi Getae Caes(aris)]]] et Iuliae Dom/[nae Aug(ustae) matris Augg(ustorum) et castr(orum) 3] f[i]l(ius) Lucanus sacerdos Saturni templum / [sua pecunia f]ecit et dedicavit		
74	AE 1913 00010 = AE 1912 00018 = BCTH 1912  pg. 352 (7 of 7)	"This is the last of seven dedications that were examined here.

Les sept dédicaces à Hercule que je viens de transcrire nous font
connaître une famille dont les différents membres étaient déjà men-
tionnés dans des inscriptions insérées au VIIIe volume du Corpus,
mais sans qu'un rapprochement eût été fait entre eux.
Le père figure au n° 18065, dans une liste de centurions, dressée
en 162 à cette date, il était pilus prior ou posterior de la huitième
cohorte de la légion III' Auguste. Au n° 27À1, qui, ainsi qu'on va
le voir, se place approximativement en l'année 202, un fragment
de dédicace cite les trois fils et leur neveu."				post 212					Publius Aelius Menecrates						"Hercules Invictus, LSS, JD, C, Damnatio memoriae, [[mater Aug]]"	"Lambaesis, baths"	"Africa, Numidia"	http://web3.forest.usf.edu/main/other/severan/jdi/images/73.jpg			Complete		"Herculi Invic(to) s(acrum). Pro salute et victoria Imp(eratorum duorum)
Caes(arum duorum) L. Septimi(i) Severi Pertinacis Pii et M. Aur(elii) Anto-
nini Aug(ustorum duorum) et Juliae Aug(ustae) matri Aug(usti) in hon(orem)
D. Ael(i) Menecr(atis) a mil(itiis) fratris P. Ael(ius) Menecrat(es) don(o)
pat(riae) suae de(dit) num(ero) iii."	"A sacrifice to Hercules Invictus for the health and victory of our two emperors Caesar L. Septimius Severus Pertinax Pius and Marcus Aurelius Antoninus, the two Augusti and of Julia Domna, mother of the Augustus in honor of Decimus Aleius Menecratinus by his brother soldier. Publius Aelius Menetrates gave this as a gift to his fatherland from the numero iii."	
481	IC 3/3 00019	"PHI

JL: I supplied the date"				198-209											"domus, Hierapytna"	Hierapytna	Crete	http://web3.forest.usf.edu/main/other/severan/jdi/images/480.jpg			Transcription		"[___________ _______ _______ __π______ _______] ______ [________]_ ________ #___
[________ ___________ ________ ________ _]__ ______[_____ _____]__ _(_____) ________
[__________ ______ ________ ___ ___________ _______ _(_π____) __π______ _____] ___ _______
[______ ________ _________ ______ _______ __]__ ______[___ ___ _____]_____ ___ ___-
[____ — — — — — — — — — — — — — — — — — — — — — — — — — — — —] __π_ ___ _____
[— — — — — — — — — — — — — — — — — — — — — — — — — — — — — —]."		
101	IMS 02 00054 = AE 1978 00704 = AE 1979 00518 = AE 1982 00840 = AE 1989 00633	"Dated by third consulship of Severus and first for Caracalla

Lit. from EDH: AE 1989, 0633. (B)
 AE 1982, 0840. (B)
 AE 1979, 0518.
 AE 1978, 0704. (B)
 IMS 2, 054; Foto.
 B. L_rincz, ZPE 48, 1982, 142-148; Abb. 1 (Zeichnung). (B) - AE 1982. 1989.
 J. Fitz, Alba Regia 17, 1979, 351. - AE 1979. (B)
 M. Mirkovi_, AArchSlov 28, 1977, 283-287; Abb. 1. (B) - AE 1978. 1979.
 PIR (2. Aufl.) F 209.
 PIR P 558."				202											"LSS, C, JD, Veterans; honorific; tabula Mater Castrorum"	Viminacium (Serbia); on a plaque at the top of marble molding; honorific inscription; tabula	Moesia Superior	http://web3.forest.usf.edu/main/other/severan/jdi/images/100.jpg			Complete		"[Imp(eratori) Caes(ari)] / [L(ucio) Sept(imio) Seuero Pio Pertinaci Aug(usto) et Imp(eratori) Caes(ari) M(arco) Aureli Antonino Aug(usto) Pio Felici] ET IULIAE DO[m]/NAE MATRI CAST(rorum),/ UET(erani) LEG(ionis) VII CL(audiae)/ ANTONINIANAE/ PRO[b(ati) Pollione II] ET/ AP[ro II co(n)s(ulibus)] M(issi)/ H(onesta) M(issione) SEUERO/ [III et Anton(ino)] CO(n)S(ulibus)."	"To the Imperator, Caesar Lucius Septimius Severus Pius Pertinax Augustus and Imperator, Caesar Marcus Aurelius Antoninus, Augustus Pius Felix and Julia Domna, Mater Castrorum.  The veterans of the 7th Claudian Antoniniana, after they were approved when Pollio and Apro were consuls for the second time were honorably discharged during the third consulship of  Imperator Severus  and the first of Antoninus."	
469	CIL 14 02072 = CIL 06 01047	"Transcription from EDCS.

HG"															"JD, LSS, C, G, domus"			http://web3.forest.usf.edu/main/other/severan/jdi/images/468.jpg			Translation		Iuliae Aug(ustae) / matri castrorum / Imp(eratoris) Caes(aris) L(uci) Septimi / Severi Pii Pertinac(is) / Aug(usti) Arab(ici) Adiab(enici) Parth(ici) / maxim(i) fortissimi / felicissimi p(atris) p(atriae) / Imp(eratoris) Caes(aris) M(arci) Aurelli(!) / Antonini Pii Felicis / Aug(usti) et / senatus et patriae / [[[P(ubli) Septimi Getae]]] / [[[nobilissimi Caes(aris)]]] / matri / Laurentes Lavinates		
397	CIL 08 11736	"Transcription from EDCS.

HG"															"LLS, JD"			http://web3.forest.usf.edu/main/other/severan/jdi/images/396.jpg			Translation		Pro sal[ute Imp(eratoris) Caes(aris) L(uci) Septimi Severi 3 et] / Iul(ia) Aug(usta) col(oni) fu[ndi		
215	AE 2000 01753	AB: Please double-check the translation.				post 211?											domus		Africa Proconsularis	http://web3.forest.usf.edu/main/other/severan/jdi/images/214.jpg			Image and Proof		] sacrum / [pro salute Imp(eratoris) Caes(aris) M(arci) Aurelii Antonini Aug(usti) Pii Fel]icis Aug(usti) et Iuliae Domnae Aug(ustae) matri Aug(usti) / [et castrorum totiusque divinae d]omus eorum	...sacred/sacrifice? For the health of the Imperators Caesars Marcus Aurelius Antoninus Augustus Pius Felix Augustus and Julia Domna Augusta mother of the Augustus and the entire Camp and their divine home.	
